"Title","Authors","Description","Rating","ISBN","copies"
"Network Simulation Experiments Manual","Emad Aboelela","Network Simulation Experiments Manual, Third Edition, is a practical tool containing detailed, simulation-based experiments to help students and professionals learn about key concepts in computer networking. It allows the networking professional to visualize how computer networks work with the aid of a software tool called OPNET to simulate network function. OPNET provides a virtual environment for modeling, analyzing, and predicting the performance of IT infrastructures, including applications, servers, and networking technologies. It can be downloaded free of charge and is easy to install. The book’s simulation approach provides a virtual environment for a wide range of desirable features, such as modeling a network based on specified criteria and analyzing its performance under different scenarios. The experiments include the basics of using OPNET IT Guru Academic Edition; operation of the Ethernet network; partitioning of a physical network into separate logical networks using virtual local area networks (VLANs); and the basics of network design. Also covered are congestion control algorithms implemented by the Transmission Control Protocol (TCP); the effects of various queuing disciplines on packet delivery and delay for different services; and the role of firewalls and virtual private networks (VPNs) in providing security to shared public networks. Each experiment in this updated edition is accompanied by review questions, a lab report, and exercises. Networking designers and professionals as well as graduate students will find this manual extremely helpful. Updated and expanded by an instructor who has used OPNET simulation tools in his classroom for numerous demonstrations and real-world scenarios. Software download based on an award-winning product made by OPNET Technologies, Inc., whose software is used by thousands of commercial and government organizations worldwide, and by over 500 universities. Useful experimentation for professionals in the workplace who are interested in learning and demonstrating the capability of evaluating different commercial networking products, i.e., Cisco routers. Covers the core networking topologies and includes assignments on Switched LANs, Network Design, CSMA, RIP, TCP, Queuing Disciplines, Web Caching, etc.",5,"9780123852113",1
"Oracle Database 11g A Beginner's Guide","Ian Abramson, Michael Abbey, Michael Corey","Get a Solid Foundation in Oracle Database Technology Master Oracle Database 11g fundamentals quickly and easily. Using self-paced tutorials, this book covers core database essentials, the role of the administrator, high availability, and large database features. Oracle Database 11g: A Beginner's Guide walks you, step by step, through database setup, administration, programming, backup, and recovery. In-depth introductions to SQL and PL/SQL are included. Designed for easy learning, this exclusive Oracle Press guide offers: Core Concepts--Oracle Database 11g topics presented in logically organized chapters Critical Skills--Lists of specific skills covered in each chapter Projects--Practical exercises that show how to apply the critical skills learned in each chapter Progress Checks--Quick self-assessment sections to check your progress Notes--Extra information related to the topic being covered Mastery Checks--Chapter-ending quizzes to test your knowledge",1,"9780071604604",1
"Star Schema The Complete Reference","Christopher Adamson","The definitive guide to dimensional design for your data warehouse Learn the best practices of dimensional design. Star Schema: The Complete Reference offers in-depth coverage of design principles and their underlying rationales. Organized around design concepts and illustrated with detailed examples, this is a step-by-step guidebook for beginners and a comprehensive resource for experts. This all-inclusive volume begins with dimensional design fundamentals and shows how they fit into diverse data warehouse architectures, including those of W.H. Inmon and Ralph Kimball. The book progresses through a series of advanced techniques that help you address real-world complexity, maximize performance, and adapt to the requirements of BI and ETL software products. You are furnished with design tasks and deliverables that can be incorporated into any project, regardless of architecture or methodology. Master the fundamentals of star schema design and slow change processing Identify situations that call for multiple stars or cubes Ensure compatibility across subject areas as your data warehouse grows Accommodate repeating attributes, recursive hierarchies, and poor data quality Support conflicting requirements for historic data Handle variation within a business process and correlation of disparate activities Boost performance using derived schemas and aggregates Learn when it's appropriate to adjust designs for BI and ETL tools","Rating not available","9780071744324",1
"Star Schema The Complete Reference","Christopher Adamson","The definitive guide to dimensional design for your data warehouse Learn the best practices of dimensional design. Star Schema: The Complete Reference offers in-depth coverage of design principles and their underlying rationales. Organized around design concepts and illustrated with detailed examples, this is a step-by-step guidebook for beginners and a comprehensive resource for experts. This all-inclusive volume begins with dimensional design fundamentals and shows how they fit into diverse data warehouse architectures, including those of W.H. Inmon and Ralph Kimball. The book progresses through a series of advanced techniques that help you address real-world complexity, maximize performance, and adapt to the requirements of BI and ETL software products. You are furnished with design tasks and deliverables that can be incorporated into any project, regardless of architecture or methodology. Master the fundamentals of star schema design and slow change processing Identify situations that call for multiple stars or cubes Ensure compatibility across subject areas as your data warehouse grows Accommodate repeating attributes, recursive hierarchies, and poor data quality Support conflicting requirements for historic data Handle variation within a business process and correlation of disparate activities Boost performance using derived schemas and aggregates Learn when it's appropriate to adjust designs for BI and ETL tools","Rating not available","9780071744324",1
"Patterns for Effective Use Cases","Steve Adolph, Paul Bramble, Alistair Cockburn, Andy Pols","Simple, elegant, and proven solutions to the specific problems of writing use cases on real projects, this workbook has 36 specific guidelines that readers can use to measure the quality of their use cases. This is the first book to specifically address use cases with the proven and popular development concept of patterns.",4.5,"9780201721843",1
"Patterns for Effective Use Cases","Steve Adolph, Paul Bramble, Alistair Cockburn, Andy Pols","Simple, elegant, and proven solutions to the specific problems of writing use cases on real projects, this workbook has 36 specific guidelines that readers can use to measure the quality of their use cases. This is the first book to specifically address use cases with the proven and popular development concept of patterns.",4.5,"9780201721843",1
"Patterns for Effective Use Cases","Steve Adolph, Paul Bramble, Alistair Cockburn, Andy Pols","Simple, elegant, and proven solutions to the specific problems of writing use cases on real projects, this workbook has 36 specific guidelines that readers can use to measure the quality of their use cases. This is the first book to specifically address use cases with the proven and popular development concept of patterns.",4.5,"9780201721843",1
"Computer Graphics","James D. Foley, Foley Dan Van, Andries Van Dam, Steven K. Feiner, John F. Hughes","On computer graphics",4,"9780201848403",1
"Calculus for Computer Graphics","John Vince","Students studying different branches of computer graphics need to be familiar with geometry, matrices, vectors, rotation transforms, quaternions, curves and surfaces. And as computer graphics software becomes increasingly sophisticated, calculus is also being used to resolve its associated problems. In this 3rd edition, the author extends the scope of the original book to include vector differential operators and differential equations and draws upon his experience in teaching mathematics to undergraduates to make calculus appear no more challenging than any other branch of mathematics. He introduces the subject by examining how functions depend upon their independent variables, and then derives the appropriate mathematical underpinning and definitions. This gives rise to a function’s derivative and its antiderivative, or integral. Using the idea of limits, the reader is introduced to derivatives and integrals of many common functions. Other chapters address higher-order derivatives, partial derivatives, Jacobians, vector-based functions, single, double and triple integrals, with numerous worked examples and almost two hundred colour illustrations. This book complements the author’s other books on mathematics for computer graphics and assumes that the reader is familiar with everyday algebra, trigonometry, vectors and determinants. After studying this book, the reader should understand calculus and its application within the world of computer graphics, games and animation.","Rating not available","9783031281174",1
"WEB TECHNOLOGY","N. P. GOPALAN, T. A. ADIKESAVAN","This well-received book, now in its second edition, incorporates a new chapter on PHP as Chapter 13 based on the readers’ demand in todays world PHP which is an important web programming technology. This text provides students with a comprehensible introduction to the programming and scripting languages currently used to create Web sites and Web applications—the main aim being to teach the programming concepts of various Web technologies and the fundamentals needed to program on the Internet. The book emphasises the underlying fundamentals of Web page development and prepares students to build real-world, industrial strength Web-based applications, and use a wide variety of Web development tools effectively and efficiently. Students are introduced to the concepts of Internet Protocols, Java networking, JavaScript, VBScript and PHP. The material presented on Java network programming contains an elaborate description with examples to help the reader clearly understand the networking concepts. The book is intended as a text for students of Computer Science and Engineering, Information Technology, and Master of Computer Applications. Key Features • Presents well-designed material on HTML, DHTML, XML and PHP with many practical exercises. • Explains the development of servlets with simple examples. • Explores the programming features of JSPs. • Introduces the elements of ASPs with worked-out exercises. • Includes Review Questions and Objective Type Questions at the end of each chapter.","Rating not available","9788120350069",1
"Basic Italian","Stella Peyronel, Ian Higgins","'Basic Italian' provides readers with the basic tools to express themselves in a wide variety of situations. The book contains 23 individual grammar points in lively and realistic contexts.","Rating not available","9780415347174",1
"The Elements of Computing Systems","Noam Nisan, Shimon Schocken","This title gives students an integrated and rigorous picture of applied computer science, as it comes to play in the construction of a simple yet powerful computer system.","Rating not available","9780262640688",1
"Computer Graphics and Geometric Modelling","Max K. Agoston","Possibly the most comprehensive overview of computer graphics as seen in the context of geometric modeling, this two-volume work covers implementation and theory in a thorough and systematic fashion. It covers the computer graphics part of the field of geometric modeling and includes all the standard computer graphics topics. The CD-ROM features two companion programs.","Rating not available","9781852338183",1
"Introduction to Wireless and Mobile Systems","Qing-An Zeng, Dharma Prakash Agrawal","Learn how wireless systems work, how mobility is supported, what the underlying infrastructure is and what interactions are needed among different functional components with INTRODUCTION TO WIRELESS AND MOBILE SYSTEMS, 4e. Focusing on qualitative descriptions and the realistic explanations of relationships between wireless systems and performance parameters, this user-friendly book helps you learn this exciting technology through relevant examples, such as understanding how a cell phone starts working as soon as they get out of an airplane.","Rating not available","9781305259621",1
